token_final,label
"['검찰', '행태', '를', '개탄', '하며', '국민', '여러분', '들', '의', '도움', '을', '요청', '합니다', '저희', '아버지', '중국', '정부', '중국', '사업', '중국', '사업', '인맥', '친분', '온', '중국인', '친구', '지금', '인맥', '친분', '유지', '오시', '저희', '아버지', '고교', '동창', '친구', '자기', '친', '동생', '핫도그', '대표이사', '중국', '쪽', '핫도그', '중국', '지점', '개설', '고생', '중국', '쪽', '인맥', '친분', '저희', '아버지', '부탁', '저희', '아버지', '핫도그', '대표이사', '만남', '회의', '중국', '직접', '인맥', '동원', '핫도그', '대한', '업설', '중국', '친구', '그', '중국', '친구', '상당', '가능성', '사업', '생각', '연락', '사업', '진행', '과정', '핫도그', '판권', '저희', '아버지', '주기', '본격', '사업', '진행', '저희', '아버지', '제빵', '기술', '교육', '모로', '노력', '중국', '인맥', '통해', '핫도그', '중국', '지점', '사업', '추진', '성사', '사업', '중간', '아버지', '소개', '중국인', '투자자', '핫도그', '측', '뒤', '모종', '거래', '저희', '아버지', '사건', '서울중앙지법', '고소', '와중', '사건', '지법', '관', '수사', '날', '경찰서', '저', '아버지', '연락', '조서', '저희', '아버지', '조서', '경찰서', '조서', '중', '핫도그', '과', '저희', '아버지', '양해각서', '라이센스', '사용권', '등', '체결', '서류', '등', '직인', '자기', '저희', '아버지', '경찰관', '분', '핫도그', '이나', '저희', '아버지', '중', '거짓말', '사문서', '위조', '대질', '심문', '얘기', '그', '경찰관', '대답', '조만간', '대질', '심문', '말', '정도', '시간', '저희', '아버지', '사건', '담당', '경찰관', '분', '전화', '문의', '검사', '불기소', '사건', '종결', '얘기', '서로', '주장', '와중', '대질', '심문', '안', '불기소', '처분', '처음', '사건', '서울중앙지법', '지법', '관', '항소', '및', '재정신청', '권력', '법', '무시', '저희', '아버지', '국민', '청원', '사건', '제대로', '수사', '그냥', '명백', '서로', '주장', '사건', '무마', '게', '다시', '재', '수사', '저희', '아버지', '저희', '아버지', '이', '과정', '사건', '터', '무니', '종결', '항소', '및', '재정신청', '우리나라', '법', '현실', '개탄', '매일', '술', '우울증', '정신과', '치료', '정말', '다시', '재', '수사', '여러분', '도움', '좀']",NO
"['우리', '는', '지금', '살해', '위협', '을', '받고있습니다', '우리', '전라북도', '군산시', '민영', '공공', '임대', '아파트', '계약', '돈', '서민', '주택', '도시', '보증', '공사', '보증', '거', '하나', '은행', '대출', '계약금', '중도', '금', '납', '시기', '지난', '아파트', '공사', '시작', '공사', '기한', '연장', '세번', '앞', '언제', '공사', '마무리', '이제', '부실', '공사', '현황', '증거', '충분', '능력', '시행', '시공사', '승인', '제대로', '감리', '공정', '율과', '부실', '공사', '흔적', '자금', '부족', '공사', '기한', '연장', '우리', '계약', '자', '집', '겨', '원룸', '월세', '전전', '맘', '날', '생활', '서민', '관심', '공무원', '누구', '위', '지자체', '입', '우리', '하루하루', '피', '눈물', '억', '서민', '등', '사기', '무슨', '행위', '우리', '예정자', '단', '한번', '이야기', '한적', '약관', '약관', '시행', '지금', '보지', '못', '못', '약관', '우리', '목숨', '합', '법대', '계약서', '애초', '능력', '시행', '시공사', '민영', '공공', '임대', '아파트', '제대로', '보고', '결제', '이', '감', '상황', '결제', '서류', '싸인', '만하', '생각', '책임', '보증', '국토부', '군산시', '시공사', '건설', '이', '일', '책임', '환급', '이행', '우리', '살길', '하나', '앞', '누군가', '부실', '사인', '것', '거기', '살라', '니요', '것', '살인', '행위', '우리', '목숨', '가지', '장난', '아무', '우리', '일', '자', '기일', '본인', '본인', '가족', '라면', '무시', '여러분', '문재인', '대통령', '간청', '우리', '사정', '내', '목숨', '좀', '내', '가족', '여운', '아이', '목숨', '좀', '이행', '언제', '부실', '아파트', '목숨', '담보', '수', '환급', '이행', '살길', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",Yes
"['봄', '학기', '를', '폐지', '하고', '그로', '벌', '에', '맞춰', '9월', '신', '학기', '제로', '변경', '코로나', '바이러스', '때문', '필연', '학교', '개학', '학사', '일정', '수정', '이', '전염병', '특성', '치료', '제', '등', '면역', '언제', '활성화', '가능성', '지금', '사회', '거리', '두기', '방법', '따라서', '학교', '개학', '개강', '언제', '통해', '활성화', '문제', '전염병', '특성', '수승', '증가', '신천지', '형태', '따라서', '이번', '기회', '일본', '따라서', '신학', '기제', '폐지', '그로', '벌', '트렌드', '학기', '제로', '것', '청원', '또한', '이번', '학기', '대해', '맞벌이', '부부', '여러', '취약', '계층', '위해', '프로그램', '지원', '개화', '기', '때', '대부분', '학교', '외국인', '선교사', '미국', '유럽', '선생님', '위해', '가을', '신학', '기제', '도입', '다만', '당시', '자체', '교육과정', '제도', '존재', '것', '은', '일제강점기', '일본', '학기', '제로', '제도', '정착', '해방', '미군정', '학기', '제로', '대한민국', '정부', '수립', '이후', '교육법', '제정', '다시', '학기', '제로', '회계', '연도', '장마철', '입학시험', '하반기', '위', '일제시대', '비판', '사람', '이후', '군사정권', '학기', '변경', '현행', '학기', '제', '확립', '이유', '방학', '학교', '난방', '비', '위', '오늘날', '지구', '온난화', '난방', '기술', '발달', '취지', '무색']",Yes
"['성', '착취', '사건', '인', '번방', '사건', '의', '근본', '적', '인', '해결', '을', '위', '한', '국제', '공조', '수사', '를', '청원', '합니다']",Yes
"['억울합니다', '저', '저', '언론', '보도', '원장', '저', '결혼', '다', '애인', '사이', '엿다는둥', '돈', '줫다', '거짓말', '저희', '쪽', '거짓말', '탐지기', '요청', '햇', '거부', '고', '실장', '원장', '저', '담당', '형사', '선배', '말', '처음', '조사', '때', '두번째', '때', '원장', '그냥', '벌금', '달', '한번', '경찰서', '사진', '정도', '처벌', '저', '랫습', '전', '병원', '다니셧던', '형사', '저', '담당', '형사', '선배', '으', '전화', '전화', '햇습니', '제', '경찰서', '조사', '실장', '선배', '형사', '전화', '그', '선배', '형사', '용지', '병원', '왓는데', '실장', '방', '한참', '이야기', '셧', '서류', '때', '고', '두번째', '방문', '때', '서비스', '또', '원장', '이분', '서비스', '번', '더', '주', '햇디', '들엇습니', '정말', '형사', '라면', '상황', '병원', '왓다갓다', '번', '전', '제', '알', '오지', '번은', '자기', '거짓', '증언', '저', '여자', '꼭', '셧으', '합', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",NO
"['소뇌', '위축', '증', '환자', '도와주세요', '저', '남매', '엄마', '참다운', '마음', '어디', '사연', '노을', '때', '복은', '복지부', '도움', '청', '전', '우연', '사고', '몸', '이상', '사실', '읍니', '병', '치료', '불치', '병', '제외', '병', '뿌리', '뿌리', '자인', '병', '소뇌', '위축', '병', '은', '초기', '말', '걸음', '거리', '중', '기연', '워', '휠체어', '의지', '면', '말기', '음식', '위', '음식물', '섭취', '위해', '호스', '서서히', '몸', '사망', '자인', '병', '도', '저희', '환', '줄기', '빛과', '희망', '전', '직전', '백혈병', '약', '시그나', '알', '개윌', '복용', '후', '몸', '상태', '자금', '직장', '읍니', '아이', '몸', '상태', '서울대', '검사', '결과', '제', '유전', '사실', '전', '물', '잠', '만큼', '마음', '달랄길', '읍니', '아이', '불행중', '다행', '백혈병', '약', '시그나', '복용', '그다지', '병색', '약', '값', '장벽', '제', '달', '값', '아이', '값', '합치', '해결', '하야', '앞', '이', '보이지', '읍니', '복지', '최상', '탈모', '보험', '계획', '치료', '약', '상태', '치료', '약', '왜', '외면', '살', '사회', '희망', '운', '둥실', '소뇌', '위축', '병', '시간', '진행', '이지', '시그나', '복용', '후', '트레이너', '운동', '을해', '대회', '입상', '읍니', '기적', '말', '기적', '치료', '이기', '때문', '저', '치료', '안았스', '지금', '못', '워', '의지', '병', '생각', '저희', '산', '증인', '임', '무슨', '임', '상이', '더', '저', '저', '환', '치료', '약', '형편', '병', '진행', '치', '읍니', '도아', '저희', '환', '보험', '의환', '도아', '달라', '소리', '외면', '도아', '살', '달라', '국민', '나라', '구제', '누가', '구제', '하나요', '보험', '길', '여러']",Yes
"['문자', '투표', '원본', '데이터', '공개', '요구', '국민', '관심', '의', '시청율', '국민', '참여', '우승자', '결정', '의', '은', '지난', '유료', '문자', '시청자', '문자', '투표', '숫자', '국민', '이', '문자', '투표', '참여', '무효표', '발생', '상황', '발생', '국민', '문맹', '이상', '사전', '공지', '무효표', '기준', '문제', '이점', '의', '사과', '무효', '문자', '금액', '환산', '거기', '국민', '기대', '노력', '물', '거품', '때문', '위', '우승자', '득표', '수가', '임', '감안', '때', '결과', '다른', '결과', '비율', '므', '정성', '보장', '공개', '오디션', '특성', '원본', '데이터', '공개', '정상', '문자', '투표', '선별', '모든', '후보', '무효', '자율', '것', '국민', '막대', '참여', '재', '검표', '정상', '선별', '국민', '확인', '비정상', '결과', '수용', '양해', '문자', '투표', '원본', '데이터', '공개', '게시', '물의', '일부', '내용', '국민', '청원', '요건', '위배', '관리자', '수정']",NO
"['1', '살', '2', '살', '유아', '용', '마스크', '도', '판매', '해주세요', '코로나', '때문', '인용', '마스크', '부제', '인터넷', '금액', '구매', '유아', '용', '마스크', '구', '크리넥스', '유아', '용', '마스크', '부모', '걸', '어른', '아기', '건강', '신경']",NO
"['저', '는', '아버지', '에게', '15년', '동안', '성폭행', '을', '당했습니다', '도와주세요']",Yes
"['2019년', '2', '기', '확정', '부가세', '신고', '2020년', '1월', '28일', '신고', '기한', '연장', '을', '청원', '합니다', '기', '확정', '부가세', '신고', '신고', '기한', '연장', '청원', '화', '행정', '지원', '세무', '대리인', '경리', '담당자', '대표', '청원', '매', '년', '세금', '신고', '관계', '모든', '세무', '대리인', '세무사', '회계사', '경리', '담당자', '항상', '야근', '부가세', '신고', '일용직', '근로', '소득', '간이', '지급', '명세서', '제출', '면세', '사업자', '현황', '신고', '근로', '소득', '연말정산', '지급', '명세서', '제출', '법인세', '신고', '부가세', '신고', '종합소득세', '신고', '성실', '신고', '확인', '대상자', '종합소득세', '신고', '법인세', '신고', '이후', '신고', '정이', '신고', '정이', '집중', '정부', '추진', '근로시간', '단축', '등', '경제민주화', '정책', '무색', '항상', '야근', '그', '중', '이번', '기', '확정', '부가세', '신고', '구정', '연휴', '단', '하루', '연장', '세금', '신고', '관련', '모든', '세무', '대리인', '경리', '담당자', '구정', '연휴', '고향', '상황', '처', '이번', '부가세', '신고', '세금', '계산서', '계산서', '발급', '마감', '기한', '이후', '합계', '표', '제출', '공휴일', '연장', '세금', '계산서', '계산서', '마감', '또한', '가량', '지연', '부가세', '신고', '기한', '연장', '것', '판단', '한국', '세무사회', '국민신문고', '등', '통해', '기획재정부', '국세청', '건의', '왜', '한연', '또한', '위', '세무', '일정', '확인', '수', '다른', '신고', '기한', '매', '월', '말일', '부가세', '신고', '기한', '까닭', '불합리', '발생', '부가세', '신고', '기한', '역시', '매', '분기', '다음', '달', '매', '분기', '다음', '달', '말일', '변경', '것', '청원', '조기', '환급', '등', '사유', '경우', '매', '월', '조기', '환급', '신청', '기존', '사례', '부가세', '신고', '접수', '마무리', '경우', '미리', '조기', '환급', '심사', '검토', '등', '신고', '기한', '연장', '단점', '해결', '수', '굳이', '신고', '기한', '변경', '필요성', '부인', '필요', '판단', '기', '확정', '부가세', '신고', '신고', '기한', '연장', '관', '국민', '청원', '대한', '목소리', '꼭', '귀', '것', '청원', '화']",NO
